Date,Open,High,Low,Close,Volume
2006-01-04,16294.65,16361.54,16250.75,16361.54,891829120
2006-01-05,16441.26,16474.51,16368.5,16425.36,1562428032
2006-01-06,16408.31,16479.55,16320.42,16428.21,1607579136
2006-01-10,16487.05,16487.05,16124.34,16124.34,1471751168
2006-01-11,16164.91,16363.58,16005.24,16363.58,1381827200
2006-01-12,16426.68,16472.99,16310.45,16445.18,1237357696
2006-01-13,16454.32,16490.26,16383.23,16454.94,1306561280
2006-01-16,16360.04,16387.63,16221.58,16268.03,1050276608
2006-01-17,16152.07,16324.16,15805.95,15805.95,1329747968
2006-01-18,15725.63,15725.63,15059.51,15341.17,1825329664
2006-01-19,15396.59,15740.82,15396.59,15696.28,1380744320
2006-01-20,15847.16,15875.38,15597.76,15696.69,1141467392
2006-01-23,15497.61,15564.9,15312.71,15360.65,1004812864
2006-01-24,15470.91,15685.13,15470.38,15648.88,869939328
2006-01-25,15725.75,15849.51,15651,15651,1372539008
2006-01-26,15783.7,15891.01,15764.88,15891.01,1125775360
2006-01-27,16079.94,16460.67,16079.91,16460.67,1475393920
2006-01-30,16615.91,16754.59,16538.72,16551.23,1973531648
2006-01-31,16603.9,16718.78,16561.31,16649.82,1357199616
2006-02-01,16594.9,16671.91,16480.08,16480.08,1540943232
2006-02-02,16632.59,16736.17,16611.52,16710.55,1535930624
2006-02-03,16596.21,16665.09,16567.86,16659.64,1183182720
2006-02-06,16736.23,16777.36,16578.18,16747.75,1132676736
2006-02-07,16768.16,16769.36,16681.03,16720.99,1460963456
2006-02-08,16609.96,16682.91,16272.67,16272.67,1259092864
2006-02-09,16444.74,16540.49,16351.42,16439.66,1215036928
2006-02-10,16525.5,16525.5,16090.92,16257.83,1719660928
2006-02-13,16191.92,16191.92,15877.66,15877.66,1356520064
2006-02-14,15845.19,16184.87,15691.86,16184.87,1397148544
2006-02-15,16302.94,16312.74,15932.83,15932.83,1163637888
2006-02-16,15901.37,16109.2,15842,16043.66,1092998912
2006-02-17,16078.5,16129.94,15702.66,15713.45,1152453120
2006-02-20,15620.58,15661.84,15389.58,15437.92,1212032640
2006-02-21,15602.83,15894.94,15573.71,15894.94,1182401536
2006-02-22,15882.63,15923,15679.91,15781.78,1388115072
2006-02-23,15908.87,16096.09,15892.5,16096.09,1153784960
2006-02-24,16034.66,16118.11,15947.04,16101.91,1167093504
2006-02-27,16156.15,16290.15,16123.29,16192.95,1470517632
2006-02-28,16218.62,16229.67,15953.32,16205.42,1479777152
2006-03-01,16026.82,16053.29,15910.65,15964.46,1338996096
2006-03-02,16068.75,16106.25,15879.71,15909.75,1136829696
2006-03-03,15835.42,15897.29,15658.63,15663.33,1063660544
2006-03-06,15668.62,15901.16,15609.79,15901.16,930054272
2006-03-07,15864.57,15864.57,15678.12,15726.01,1046463552
2006-03-08,15657.79,15720.65,15553.13,15627.49,1058037376
2006-03-09,15645.29,16049.61,15645.29,16036.91,1115858304
2006-03-10,16007.41,16264.88,15982.01,16115.62,1583426560
2006-03-13,16264.58,16379.46,16242.16,16361.5,913058880
2006-03-14,16401.1,16410.28,16238.36,16238.36,914395456
2006-03-15,16342.51,16367.75,16291.76,16319.04,860117632
2006-03-16,16354.71,16356.49,16032.54,16096.21,929527104
2006-03-17,16172.74,16339.73,16106.37,16339.73,857128512
2006-03-20,16299.34,16667.13,16299.34,16624.8,981166592
