Date,Open,High,Low,Close,Volume
2012-01-02,73.282,78.847,72.619,78.117,1233640
2012-01-03,78.382,78.515,74.938,77.058,2030489
2012-01-04,76.129,76.925,74.606,76.196,975229
2012-01-05,76.66,76.726,73.878,75.535,736971
2012-01-09,75.997,76.66,73.613,73.613,1632382
2012-01-10,74.806,76.329,74.806,75.535,1888678
2012-01-11,75.799,76.329,75.202,76.196,1685493
2012-01-12,76.129,82.227,76.129,81.896,5392184
2012-01-13,82.093,84.281,80.834,81.763,1838946
2012-01-16,80.834,82.292,80.834,82.159,635091
2012-01-17,84.214,85.87,84.148,85.14,1828063
2012-01-18,86.003,86.665,84.412,86.267,1151795
2012-01-19,86.665,87.129,79.376,86.068,2652826
2012-01-20,86.003,86.068,84.677,86.068,718424
2012-01-23,85.738,86.732,85.208,85.804,791006
2012-01-24,85.472,86.929,83.948,86.864,996487
2012-01-25,86.864,87.328,84.611,85.14,1352382
2012-01-26,85.738,88.785,85.208,87.393,2286603
2012-01-27,87.393,91.107,87.328,88.719,1680232
2012-01-30,88.719,90.042,87.26,90.042,905031
2012-01-31,90.506,94.03,90.247,92.503,2021093
2012-02-01,92.762,95.615,92.163,94.813,2245112
2012-02-02,95.809,95.877,94.281,95.279,862225
2012-02-03,94.747,96.271,93.759,95.344,1301607
2012-02-06,94.887,95.279,93.816,94.747,764225
2012-02-07,94.813,95.344,91.438,93.955,1037718
2012-02-08,94.281,95.008,93.564,93.955,977379
2012-02-09,94.421,94.813,92.432,94.086,1215212
2012-02-10,92.762,92.762,89.844,89.844,1822805
2012-02-13,90.972,92.163,89.844,89.844,880831
2012-02-14,90.373,92.163,89.049,89.512,1558154
2012-02-15,91.367,91.699,89.254,89.647,1299680
2012-02-16,89.452,90.113,87.858,88.321,1263942
2012-02-17,90.113,91.303,89.844,91.169,959140
2012-02-20,91.699,93.155,91.699,91.769,690370
2012-02-21,93.424,93.564,91.169,93.098,750723
2012-02-22,93.098,93.098,90.506,92.029,1167541
