Date,Open,High,Low,Close,Volume
2009-01-31,15.013,17.486,13.45,15.22,58880057
2009-02-28,14.968,18.937,14.361,17.269,53485957
2009-03-31,17.194,26.295,17.067,23.105,64842891
2009-04-30,23.26,30.466,22.25,30.011,55644002
2009-05-31,30.491,37.875,30.491,35.446,47492527
2009-06-30,36.914,44.751,36.509,41.212,56084173
2009-07-31,41.667,51.351,37.114,51.351,51243608
2009-08-31,52.062,58.177,45.533,50.815,47044317
2009-09-30,51.468,54.853,48.263,51.291,34806855
2009-10-31,51.439,61.205,49.272,58.711,40627573
2009-11-30,58.177,65.954,56.188,63.995,32528940
2009-12-31,64.411,66.133,57.643,62.926,29902906
2010-01-31,63.698,64.825,55.622,57.582,41732153
2010-02-28,57.227,60.788,50.815,57.227,41231258
2010-03-31,58.237,63.818,57.82,63.7,37628932
2010-04-30,63.698,69.932,63.342,65.598,31959832
2010-05-31,65.775,66.013,52.863,58.477,42716202
2010-06-30,58,59.652,53.014,54.262,35941612
2010-07-31,54.017,66.266,54.017,65.347,29997318
2010-08-31,65.838,68.103,62.224,65.47,26588771
2010-09-30,65.287,72.085,64.491,71.839,30527221
2010-10-31,71.9,82.066,71.9,78.389,34278990
2010-11-30,79.004,88.191,78.392,82.066,25279191
2010-12-31,83.842,105.94,82.986,105.94,27461049
2011-01-31,105.83,115.68,96.955,103.01,34751249
2011-02-28,106.69,110.04,97.628,107.48,28756034
2011-03-31,108.4,114.71,101.23,110.36,37557289
2011-04-30,110.91,122.68,110.55,119.61,19550865
2011-05-31,119.92,120.28,108.22,117.6,31266541
2011-06-30,118.5,121.43,112.38,120.65,30448075
2011-07-31,121.13,128.47,119.3,126.49,21565849
2011-08-31,127.27,128.14,96.742,115.82,39773980
2011-09-30,115.88,115.88,84.016,86.797,39110834
2011-10-31,83.882,106.15,76.461,102.37,47575799
2011-11-30,98.533,115.41,81.166,87.791,50029809
2011-12-31,87.724,89.512,67.848,73.283,39099956
2012-01-31,73.282,94.03,72.619,92.503,34433046
2012-02-29,92.762,101.05,87.858,97.6,26930610
2012-03-31,97.407,102.5,91.634,94.813,35226703
2012-04-30,95.944,97.6,87.328,91.966,20493228
2012-05-31,92.1,92.629,75.866,84.809,32286974
2012-06-30,84.81,99.201,82.227,96.078,34099114
2012-07-31,96.541,105.63,90.247,104.32,41750865
2012-08-31,103.34,114.13,101.12,106.97,25296555
2012-09-30,107.87,127.63,107.87,125.56,22398933
2012-10-31,124.99,138.33,124.41,132.4,18743623
2012-11-30,133.81,152.08,131.99,147.14,18415090
2012-12-31,146.57,160.39,144.92,156.46,14805538
2013-01-31,159.75,160.39,150.1,155.56,17418562
2013-02-28,155.21,158.67,145.24,148.79,15956890
2013-03-31,146.57,146.73,125.42,129.92,25817271
2013-04-30,130.25,137.43,111.57,121.86,29200170
2013-05-31,120.13,124.46,113.62,122.11,19244320
2013-06-30,121.86,129.1,95.925,99.64,35495742
2013-07-31,101.69,108.24,95.707,99.38,24279217
2013-08-31,100.27,118.04,100.09,109.76,22710204
2013-09-30,112.18,116.26,104.08,110.4,22044063
2013-10-31,110.3,112.27,104.79,111.51,25702182
2013-11-30,111.65,112.64,101.25,106.05,18506478
2013-12-31,106,106,98.755,105.64,18026053
2014-01-31,106.36,106.9,93.647,98.032,18823991
2014-02-28,97.59,105.16,90.785,104.67,21877339
2014-03-31,101.44,109.5,88.368,97.494,32516866
2014-04-30,97.59,104.97,93.564,97.993,23329947
2014-05-31,98.884,106.28,98.032,103.77,17841572
2014-06-30,104.48,114.07,103.62,111.43,18340261
2014-07-31,111.91,123.49,110.21,119.63,17450306
2014-08-31,120.23,130.06,117.54,122.84,15433758
2014-09-30,124.29,128.57,114.44,117.89,21150421
2014-10-31,117.89,122.46,112.78,121.07,21349206
2014-11-30,120.6,121.11,113.51,114.54,14562128
2014-12-31,113.66,113.66,98.612,101.45,18687862
2015-01-31,101.59,106.25,92.417,98.189,22833993
2015-02-28,98.884,114.92,98.785,112.78,19763222
2015-03-31,112.78,114.26,105.6,111.84,16836340
2015-04-30,111.38,117.85,108.29,117.85,15535435
2015-05-31,118.08,122.42,110.91,110.91,15531159
2015-06-30,111.09,114.31,101.17,102.57,17554615
2015-07-31,103.01,103.45,81.368,91.458,25879411
2015-08-31,90.494,93.19,66.62,75.602,22035073
2015-09-30,74.552,87.116,69.701,78.894,22953787
2015-10-31,80.29,96.271,75.207,86.509,25541542
2015-11-30,86.885,92.382,69.027,69.605,21684615
2015-12-31,70.759,71.414,54.73,61.122,23868806
2016-01-31,57.763,58.821,49.099,55.356,21143614
2016-02-29,54.875,67.226,53.719,65.406,29809578
2016-03-31,65.59,76.343,63.645,73.263,31359354
2016-04-30,72.974,75.207,64.146,71.587,24003416
2016-05-31,71.501,71.732,58.061,58.061,22240647
2016-06-30,57.628,63.731,53.691,63.539,23597868
2016-07-31,64.021,79.269,63.25,77.205,29003079
2016-08-31,77.686,78.866,70.57,71.995,18502936
2016-09-30,72.93,77.716,67.769,73.224,17917679
2016-10-31,73.224,74.198,66.452,69.862,13801457
2016-11-30,69.519,89.442,67.17,85.864,28090757
2016-12-31,87.161,97.078,83.545,90.897,22076437
2017-01-31,90.897,124.33,90.042,121.78,29152123
2017-02-28,123.3,133.67,120.7,126.79,21127992
2017-03-31,129.3,130.13,113.57,113.82,21577285
2017-04-30,115.58,127.28,114.21,120.99,13050515
2017-05-31,121.48,122.12,103.74,103.89,16630563
2017-06-30,104.19,112.84,103.35,108.75,13764763
2017-07-31,109.3,124.55,105.27,121.27,15112206
2017-08-31,121.62,127.17,117.01,125.04,14206213
2017-09-30,125.49,131.14,111.66,116.42,13813124
2017-10-31,116.81,126.28,113.44,121.92,13409370
2017-11-30,122.12,124.75,104.42,105.9,13623384
2017-12-31,106.1,112.15,98.914,110.27,14815629
2018-01-31,110.47,114.98,105.76,109.13,10078597
2018-02-28,109.57,112.05,100.2,104.12,10701617
2018-03-31,104.12,105.81,81.551,86.092,16105310
2018-04-30,86.33,96.96,84.486,92.855,13143374
2018-05-31,93.51,98.051,83.931,84.01,13674220
2018-06-30,84.208,97.575,82.919,87.262,12997613
2018-07-31,86.985,96.96,86.985,95.691,12623466
2018-08-31,95.275,95.731,82.324,90.039,11808406
2018-09-30,89.741,92.915,81.015,88.353,15514698
2018-10-31,88.472,90.574,80.42,86.152,11699989
2018-11-30,89.166,97.139,86.112,88.968,11950126
2018-12-31,91.229,93.807,85.081,88.135,9417381
2019-01-31,87.262,94.105,85.398,93.371,11025177
2019-02-28,93.053,102.38,91.725,100.45,15495433
2019-03-31,101.1,106.9,97.694,106.1,12611198
2019-04-30,107.09,111.56,101.44,101.99,8839075
2019-05-31,99.91,101.19,90.733,94.204,11083729
2019-06-30,94.204,105.01,91.744,102.63,9358521
2019-07-31,104.62,105.81,92.419,93.609,11755747
2019-08-31,93.47,93.47,71.793,77.664,15549186
2019-09-30,77.743,83.732,72.606,79.329,13744265
2019-10-31,78.715,86.172,72.884,82.939,11926786
2019-11-30,84.605,96.127,84.407,89.146,13014037
2019-12-31,89.246,97.952,85.914,94.779,9454508
2020-01-31,95.751,100.7,89.96,90.436,11769954
2020-02-29,91.031,98.428,69.413,69.949,12329146
2020-03-31,73.38,78.318,47.608,59.319,27417601
2020-04-30,58.505,78.635,56.74,76.335,17302164
2020-05-31,74.371,88.115,70.464,85.557,13730211
2020-06-30,87.56,91.526,82.602,90.138,13799766
2020-07-31,89.801,132.28,89.682,124.99,21726999
2020-08-31,125.74,138.78,124.94,135.7,13500080
2020-09-30,136.84,138.33,113.54,117.01,12555148
2020-10-31,117.51,130.5,111.06,117.16,14401433
2020-11-30,117.11,157.17,115.52,147.75,13055322
2020-12-31,148.64,190.34,148.35,181.47,11569183
2021-01-31,184.34,219.15,165.75,186.82,11574792
2021-02-28,195.35,212.5,177.85,187.76,12432025
2021-03-31,191.63,197.53,164.61,188.61,12931619
2021-04-30,188.41,207.25,183.2,192.97,9251238
2021-05-31,195.35,228.87,190.09,200.31,14515984
2021-06-30,200.8,209.03,174.6,187.65,14181863
2021-07-31,188,200.5,176.6,194.6,7932056
2021-08-31,195.75,199.9,169,178.3,9659674
2021-09-30,177,181.7,152.85,157.65,12905496
2021-10-31,156,174.55,150.15,153.4,16276529
2021-11-30,151,160.5,131.5,141.05,14850912
2021-12-31,143.9,146.5,140.3,145.3,1643779
