Date,Open,High,Low,Close,Volume
2020-01-05,95.632,97.377,94.442,95.314,735492
2020-01-12,95.195,98.468,94.164,98.17,1793813
2020-01-19,98.17,100.65,96.703,100.15,2547162
2020-01-26,100.3,100.7,95.294,96.544,2946151
2020-02-02,95.552,95.592,89.96,90.436,3928031
2020-02-09,91.031,98.428,90.753,93.946,2672394
2020-02-16,94.065,96.048,90.574,93.113,2449049
2020-02-23,94.105,95.136,89.067,90.118,1665757
2020-03-01,88.333,88.333,69.413,69.949,5541946
2020-03-08,73.38,78.318,68.481,69.374,4576308
2020-03-15,62.452,66.121,48.986,52.04,7018089
2020-03-22,52.06,61.381,47.608,57.435,9070293
2020-03-29,55.947,60.489,53.547,57.613,5151659
2020-04-05,58.386,59.596,56.245,58.743,4365399
2020-04-12,60.092,70.98,60.092,68.759,5065190
2020-04-19,72.19,75.363,68.937,71.833,3964939
2020-04-26,72.348,73.479,67.331,72.19,2844802
2020-05-03,73.38,78.635,70.464,76.335,2663086
2020-05-10,74.371,76.652,72.487,76.355,2181171
2020-05-17,76.731,77.247,70.464,72.15,2427214
2020-05-24,73.876,83.276,73.876,79.25,4646945
2020-05-31,80.123,88.115,79.468,85.557,4474880
2020-06-07,87.56,91.526,85.775,90.753,3604593
2020-06-14,90.753,90.931,83.792,86.667,2668129
2020-06-21,84.347,89.008,82.602,87.163,3915950
2020-06-28,87.143,90.912,85.596,87.937,2368240
2020-07-05,87.857,95.691,87.857,93.47,3467682
2020-07-12,95.294,101.49,94.699,101.15,3412244
2020-07-19,103.13,107.69,102.53,106.35,4041264
2020-07-26,105.86,118.8,105.11,118.2,5621577
2020-08-02,118.89,132.28,118.1,124.99,6427085
2020-08-09,125.74,138.78,124.94,134.86,4840812
2020-08-16,134.86,138.63,124.99,130.89,2985573
2020-08-23,131.39,138.53,129.21,132.73,3035874
2020-08-30,133.27,137.54,131.98,135.5,1901866
2020-09-06,135.45,138.33,129.01,133.37,3166217
2020-09-13,134.36,136.94,129.11,135.31,2542429
2020-09-20,135.85,138.13,129.75,132.93,3455438
2020-09-27,131.39,133.47,114.93,117.06,2695164
2020-10-04,119.84,121.27,111.06,114.04,2396856
2020-10-11,113.49,120.38,113.44,118.94,2823028
2020-10-18,119.69,127.57,117.06,125.29,3770345
2020-10-25,125.94,130.5,123.31,125.44,3221183
2020-11-01,124.05,126.53,113.09,117.16,3621875
2020-11-08,117.11,136.79,115.52,136.69,3214664
2020-11-15,136.69,141.31,130.99,134.41,2426254
2020-11-22,136.84,147.11,134.31,141.31,3313470
2020-11-29,140.81,157.17,138.63,154.1,2917300
2020-12-06,154.69,173.93,146.96,173.93,3586097
2020-12-13,173.09,190.34,169.52,177.85,3793610
2020-12-20,178.49,188.8,174.38,184.34,2986707
2020-12-27,181.66,184.49,175.76,183.7,1290286
2021-01-03,185.43,187.81,181.12,181.47,1096114
2021-01-10,184.34,219.15,184.34,210.82,2989213
2021-01-17,206.45,208.24,194.36,196.39,2353838
2021-01-24,196.54,203.78,185.38,186.28,2594488
2021-01-31,188.41,192.27,165.75,186.82,3637252
2021-02-07,195.35,200.01,177.85,188.41,3043786
2021-02-14,192.52,194.85,184.24,187.86,2283753
2021-02-21,191.38,205.76,190.94,205.76,3090418
2021-02-28,207.74,212.5,184.99,187.76,4014069
2021-03-07,191.63,197.53,181.47,183.65,2587630
2021-03-14,184.74,193.27,182.51,188.21,2376242
2021-03-21,188.75,190.99,179.98,182.71,2734352
2021-03-28,180.57,184.64,164.61,175.32,2931316
2021-04-04,175.52,192.23,174.57,188.8,2677368
2021-04-11,193.96,198.92,190.14,190.54,2035829
2021-04-18,189.4,202.59,183.2,197.83,2640883
2021-04-25,201.4,205.56,190.44,199.22,1834208
2021-05-02,201.7,207.25,192.97,192.97,2365028
2021-05-09,195.35,222.62,194.11,218.35,2515286
2021-05-16,226.19,228.87,208.54,210.22,3402096
2021-05-23,211.61,218.65,193.96,196.34,3290091
2021-05-30,196.24,201.79,190.09,201.2,4968310
2021-06-06,202.29,209.03,198.82,202.59,2599176
2021-06-13,201.79,201.89,192.72,196.19,2960771
2021-06-20,195.25,197.18,175.32,178.95,5121432
2021-06-27,178,192.55,174.6,189.7,2437185
2021-07-04,189,194.5,184.1,191.15,2321026
2021-07-11,192.5,194.8,183.1,187.8,1754277
2021-07-18,187.5,190.4,185.3,186.8,1184085
2021-07-25,185.5,190.65,176.6,190.2,1912374
2021-08-01,191.9,200.5,190,194.6,2163793
2021-08-08,195.75,199.9,192.8,194.5,1654944
2021-08-15,194.5,195.65,188.5,191.9,1493003
2021-08-22,189.9,191.25,169,172.3,3145725
2021-08-29,174.8,181,173.2,181,2117265
2021-09-05,182,183.4,172.4,176.8,2735057
2021-09-12,176.75,181.4,173.25,180.4,1859457
2021-09-19,181,181.7,167.4,167.65,3803693
2021-09-26,165.6,165.6,155.75,160.45,3522088
2021-10-03,162,163.05,152.85,156.1,2718918
2021-10-10,155.5,161.3,150.15,153.75,4493011
2021-10-17,155.6,169.8,155.4,168.2,5300687
2021-10-24,170.5,174.55,159.1,162.15,3593131
2021-10-31,163.95,164.5,152.4,153.4,2404720
2021-11-07,151,156.4,148.45,150,2470301
2021-11-14,151,160.4,147.4,158.95,2747588
2021-11-21,160.4,160.5,140.3,142.85,4549698
2021-11-28,144,146.95,132.55,133.1,2861918
2021-12-05,134.5,146.5,131.5,145.3,3131967
